,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
103,2016-05-08,13917,Courtney,04/27/16,Noonan,04/22/2016,Hillwood Museum,12,474,,72,,,,,,,,812,,858.5,,,,,,,,,,,,,,,,150.0,,, 477.04,DC, 1358,
104,2016-05-19,13914,Courtney,05/09/16,Porter,04/22/2016,Field School,85,3315,192.0,100,,,280.8,,,,,1784,,858.5,,,1670.0,,,,,,,,,,,,,150,,, 260,DC, 6207.5,1023.75
105,2016-05-21,10260,Courtney,06/17/15,Porter,05/19/2015,Whalley,78,3087,192,200,,125.0,280.8,,,,,3522,,1135.68,600.0,,1670,,,,,,,,,,,,,150,,, 478.92,DC, 10237.48, 1023.75
106,2016-05-21,12134,Courtney,12/31/15,Porter,11/09/2015,Kuwana,152,4820,806.0,515.0,65.0,125,152,320.0,,,,4826,,2142.29,600,,2374.0,,,,,,,,,,,,,150,,, 538.03,VA, 12815.29, 963.8
107,2016-05-27,10909,Courtney,08/25/15,Porter,07/31/2015,Polen,100,3565.5,806,515,65,,412,320,2357.0,,,5896,,1700.53,,,2374,,,,,,,,,,,,,150,,, 123,VA, 15804.03, 1166.58
108,2016-05-27,11870,Courtney,04/15/16,Lane,10/22/2015,National Archives Records Administration,150,1950,,270.0,,75.0,300,,2357,,,2254,,1221.3,,,844,,,,,,,,,,,,,150.0,,, 150,DC, 7705,639.86
109,2016-05-28,13665,Courtney,04/04/16,Lane,03/30/2016,Womeldorf,90,3225,,270,,75,412.0,,,,,2322,,1221.3,480.0,,1170.95,,,,,,,,,,,,725.62,150,,,150.0,VA, 8434.25, 639.86
110,2016-05-28,10590,Courtney,08/24/15,Porter,06/29/2015,Hernandez,103,3373.25,80.0,,,20.0,412,,,,,4150,,1702.59,480,,118.0,,,,,,,,,,,,725.62,150,,, 150,VA, 10993.46, 758.49
111,2016-06-03,12234,Courtney,04/22/16,Cheung,11/16/2015,Cope,86,2924,80,,,20,344,,,,,3326,,1369.12,400,,118,,,,,,,,,,,,550.0,150,,, 602.28,VA, 8731.12, 649.59
112,2016-06-04,12945,Courtney,03/24/16,Porter,01/27/2016,Clissa,85,2465,,,,,318.75,,,,,2798,,760.1,,,2052.64,,,,,,,,,,,,550,150,,, 745.5,VA, 9094.49, 615.03
113,2016-06-05,14000,Courtney,05/18/16,Porter,05/02/2016,Stone Tower Winery,300,945.0,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,150.0,,, 2804,VA,1270.0,
114,2016-06-06,14138,Courtney,05/25/16,Porter,05/13/2016,Field School,35,945,,,,,,,,,,,,175,120.0,,,,,,,,,,,,,,,150,,, 210,DC, 1270,
115,2016-06-09,14329,Courtney,06/01/16,Porter,06/01/2016,Field School,100,4066.4,,,,,318.75,85.0,,,,3528.0,,1848.25,120,,,,,,,,,,,,,,,50,,,382.5,DC, 170,803.08
116,2016-06-18,12912,Courtney,03/16/16,Porter,01/26/2016,Haines,85,4066.4,,200.0,,,318.75,85,700.0,,,3528,,1848.25,558,,,,,,,,,,,,,,,150,,, 382.5,VA, 10554.4, 803.08
117,2016-06-22,14394,Courtney,06/07/16,Porter,06/06/2016,Davis Polk & Wardwell,50,1050,,200,,87.5,200,,700,,,988,,331.07,,,230.0,,,410.0,,,,,,,,217.68,,150,,, 158.43,DC, 3619.07, 361.91
